accuracy,recall,precision,f1,mcc,spd,aod,eod
0.682,0.673,0.683,0.673,0.356,0.088,0.044,0.021
0.677,0.668,0.677,0.668,0.344,0.125,0.077,0.077
0.68,0.673,0.678,0.673,0.35,0.149,0.106,0.082
0.68,0.67,0.68,0.67,0.35,0.115,0.073,0.045
0.682,0.672,0.682,0.672,0.354,0.129,0.083,0.071
0.672,0.663,0.67,0.664,0.333,0.089,0.035,0.058
0.686,0.677,0.685,0.678,0.362,0.179,0.137,0.104
0.674,0.662,0.678,0.66,0.34,0.16,0.119,0.1
0.667,0.653,0.672,0.651,0.324,0.032,0.011,0.02
0.656,0.65,0.654,0.65,0.303,0.075,0.034,0.023
0.679,0.67,0.679,0.67,0.349,0.074,0.03,0.007
0.679,0.67,0.679,0.67,0.349,0.087,0.04,0.03
0.682,0.666,0.694,0.663,0.359,0.077,0.037,0.007
0.676,0.666,0.676,0.666,0.342,0.113,0.066,0.058
0.686,0.676,0.688,0.676,0.364,0.111,0.065,0.047
0.679,0.669,0.679,0.669,0.348,0.123,0.079,0.058
0.683,0.674,0.683,0.674,0.357,0.143,0.101,0.07
0.681,0.67,0.684,0.67,0.354,0.094,0.053,0.021
0.683,0.673,0.684,0.673,0.357,0.123,0.078,0.06
0.668,0.663,0.665,0.663,0.328,0.189,0.144,0.137
0.681,0.671,0.681,0.672,0.352,0.101,0.053,0.045
0.683,0.675,0.683,0.676,0.358,0.092,0.039,0.045
0.661,0.653,0.659,0.653,0.311,0.086,0.036,0.055
0.678,0.667,0.68,0.667,0.347,0.194,0.156,0.122
0.676,0.668,0.675,0.668,0.342,0.106,0.057,0.058
0.665,0.657,0.662,0.657,0.319,0.084,0.033,0.049
0.657,0.653,0.654,0.653,0.307,0.152,0.103,0.12
0.682,0.674,0.68,0.675,0.355,0.165,0.11,0.129
0.671,0.662,0.67,0.662,0.332,0.048,0.0,0.0
0.653,0.646,0.65,0.646,0.295,0.117,0.071,0.088
0.67,0.659,0.673,0.658,0.331,0.188,0.159,0.099
0.675,0.657,0.691,0.652,0.347,0.038,0.003,0.043
0.689,0.679,0.691,0.68,0.37,0.158,0.117,0.078
0.672,0.665,0.669,0.666,0.334,0.182,0.134,0.136
0.677,0.663,0.684,0.661,0.346,0.168,0.138,0.076
0.675,0.662,0.68,0.66,0.341,0.141,0.104,0.069
0.666,0.65,0.676,0.646,0.325,0.029,0.006,0.044
0.677,0.666,0.679,0.665,0.345,0.148,0.113,0.066
0.662,0.658,0.659,0.658,0.317,0.083,0.041,0.028
0.683,0.67,0.689,0.669,0.358,0.141,0.099,0.073
0.683,0.673,0.684,0.673,0.357,0.136,0.096,0.059
0.665,0.659,0.662,0.66,0.321,0.14,0.09,0.106
0.661,0.657,0.658,0.658,0.315,0.163,0.119,0.112
0.68,0.668,0.684,0.668,0.352,0.158,0.126,0.066
0.67,0.657,0.675,0.655,0.331,0.11,0.075,0.036
0.684,0.672,0.688,0.672,0.36,0.157,0.119,0.077
0.665,0.66,0.662,0.661,0.322,0.134,0.095,0.07
0.687,0.676,0.691,0.676,0.366,0.164,0.126,0.079
0.681,0.667,0.69,0.665,0.356,0.113,0.07,0.049
0.657,0.651,0.654,0.652,0.305,0.111,0.055,0.097
0.67,0.658,0.674,0.657,0.331,0.107,0.081,0.006
0.672,0.657,0.682,0.653,0.338,0.106,0.067,0.041
0.67,0.659,0.671,0.658,0.33,0.094,0.056,0.024
0.683,0.674,0.684,0.674,0.358,0.156,0.112,0.092
0.654,0.65,0.651,0.65,0.301,0.129,0.09,0.077
0.683,0.672,0.685,0.672,0.357,0.145,0.096,0.093
