accuracy,recall,precision,f1,mcc,spd,aod,eod
0.666,0.661,0.662,0.661,0.322,0.165,0.132,0.141
0.664,0.661,0.661,0.661,0.322,0.235,0.205,0.2
0.666,0.654,0.663,0.655,0.317,0.181,0.152,0.149
0.667,0.664,0.663,0.664,0.327,0.223,0.191,0.19
0.665,0.66,0.661,0.661,0.321,0.167,0.134,0.144
0.663,0.661,0.66,0.66,0.321,0.24,0.21,0.203
0.665,0.653,0.662,0.653,0.315,0.14,0.11,0.108
0.662,0.66,0.659,0.66,0.319,0.241,0.211,0.207
0.662,0.653,0.658,0.654,0.311,0.27,0.247,0.21
0.669,0.659,0.666,0.66,0.326,0.215,0.188,0.169
0.668,0.665,0.665,0.665,0.329,0.218,0.185,0.188
0.668,0.666,0.665,0.665,0.331,0.218,0.186,0.188
0.663,0.651,0.661,0.651,0.311,0.145,0.115,0.113
0.668,0.665,0.665,0.665,0.329,0.218,0.185,0.188
0.667,0.657,0.664,0.657,0.321,0.197,0.17,0.156
0.666,0.654,0.663,0.655,0.317,0.17,0.14,0.139
0.666,0.655,0.663,0.655,0.317,0.185,0.156,0.151
0.668,0.664,0.664,0.664,0.328,0.192,0.158,0.169
0.667,0.657,0.664,0.657,0.321,0.202,0.175,0.16
0.662,0.657,0.658,0.657,0.315,0.149,0.115,0.131
0.667,0.664,0.664,0.664,0.328,0.214,0.181,0.185
0.667,0.657,0.663,0.657,0.32,0.23,0.205,0.175
0.667,0.663,0.663,0.663,0.326,0.192,0.159,0.169
0.667,0.664,0.663,0.663,0.327,0.212,0.18,0.183
0.667,0.662,0.663,0.662,0.325,0.179,0.146,0.154
0.666,0.656,0.663,0.656,0.319,0.211,0.185,0.163
0.666,0.663,0.662,0.663,0.325,0.227,0.195,0.197
0.668,0.665,0.664,0.665,0.329,0.216,0.184,0.187
0.668,0.657,0.666,0.658,0.323,0.179,0.149,0.144
0.665,0.662,0.661,0.662,0.324,0.234,0.203,0.204
0.667,0.656,0.665,0.657,0.321,0.178,0.148,0.147
0.667,0.656,0.664,0.657,0.32,0.214,0.188,0.164
0.667,0.664,0.663,0.663,0.327,0.213,0.18,0.185
0.665,0.661,0.661,0.661,0.323,0.234,0.204,0.198
0.67,0.66,0.667,0.661,0.327,0.211,0.184,0.164
0.669,0.658,0.666,0.658,0.324,0.177,0.147,0.144
0.665,0.653,0.662,0.653,0.315,0.18,0.15,0.149
0.664,0.66,0.66,0.66,0.32,0.184,0.151,0.163
0.663,0.66,0.66,0.66,0.32,0.236,0.207,0.2
0.667,0.664,0.664,0.664,0.328,0.214,0.181,0.185
0.667,0.657,0.664,0.658,0.321,0.219,0.193,0.169
0.665,0.661,0.661,0.661,0.321,0.192,0.159,0.169
0.661,0.658,0.658,0.658,0.316,0.251,0.222,0.216
0.668,0.665,0.664,0.665,0.329,0.198,0.165,0.171
0.668,0.665,0.665,0.665,0.331,0.219,0.187,0.187
0.668,0.658,0.665,0.659,0.322,0.224,0.198,0.175
0.665,0.661,0.661,0.661,0.322,0.185,0.152,0.165
0.667,0.664,0.664,0.664,0.328,0.207,0.174,0.184
0.665,0.654,0.662,0.654,0.316,0.18,0.15,0.147
0.669,0.666,0.666,0.666,0.332,0.201,0.167,0.175
0.666,0.656,0.663,0.656,0.319,0.204,0.176,0.163
0.665,0.662,0.662,0.662,0.324,0.226,0.195,0.193
0.665,0.654,0.662,0.655,0.316,0.183,0.153,0.15
0.662,0.659,0.658,0.659,0.317,0.262,0.232,0.228
0.67,0.66,0.668,0.661,0.328,0.21,0.183,0.163
0.663,0.661,0.66,0.66,0.321,0.243,0.213,0.206
0.662,0.66,0.659,0.66,0.32,0.244,0.213,0.211
0.668,0.665,0.664,0.665,0.329,0.223,0.192,0.191
0.667,0.664,0.664,0.664,0.328,0.214,0.181,0.185
0.661,0.658,0.658,0.658,0.316,0.241,0.213,0.203
0.667,0.665,0.664,0.664,0.329,0.22,0.188,0.192
0.669,0.666,0.665,0.666,0.331,0.201,0.167,0.174
0.658,0.656,0.655,0.656,0.312,0.288,0.258,0.263
0.667,0.664,0.663,0.663,0.327,0.224,0.193,0.191
0.665,0.661,0.661,0.661,0.322,0.186,0.153,0.163
0.667,0.664,0.664,0.664,0.328,0.223,0.191,0.191
0.667,0.664,0.664,0.664,0.328,0.214,0.181,0.185
0.667,0.664,0.663,0.663,0.327,0.209,0.177,0.183
0.664,0.66,0.66,0.66,0.32,0.175,0.142,0.151
0.665,0.661,0.661,0.661,0.323,0.229,0.199,0.194
0.668,0.665,0.665,0.665,0.329,0.218,0.185,0.188
0.667,0.664,0.664,0.664,0.328,0.225,0.194,0.191
0.667,0.664,0.663,0.663,0.327,0.224,0.193,0.191
0.665,0.663,0.662,0.662,0.325,0.231,0.199,0.202
0.665,0.661,0.661,0.661,0.323,0.234,0.204,0.198
0.667,0.664,0.664,0.664,0.328,0.223,0.191,0.191
0.666,0.663,0.663,0.663,0.326,0.227,0.197,0.193
0.667,0.664,0.663,0.663,0.327,0.227,0.196,0.191
0.667,0.664,0.664,0.664,0.328,0.208,0.175,0.183
0.663,0.659,0.66,0.659,0.319,0.175,0.143,0.152
0.665,0.654,0.662,0.655,0.316,0.184,0.155,0.151
0.668,0.665,0.664,0.665,0.329,0.204,0.17,0.179
0.662,0.659,0.659,0.659,0.318,0.238,0.208,0.203
0.667,0.664,0.663,0.663,0.327,0.227,0.196,0.191
0.661,0.648,0.66,0.648,0.308,0.122,0.092,0.096
0.666,0.663,0.663,0.663,0.326,0.226,0.194,0.196
0.667,0.657,0.664,0.657,0.321,0.202,0.175,0.16
0.665,0.654,0.662,0.655,0.316,0.184,0.155,0.151
0.667,0.657,0.664,0.658,0.321,0.225,0.2,0.172
0.668,0.657,0.665,0.658,0.322,0.193,0.164,0.156
0.666,0.655,0.664,0.656,0.318,0.181,0.152,0.147
0.667,0.657,0.664,0.657,0.321,0.202,0.175,0.16
0.667,0.657,0.663,0.657,0.32,0.227,0.202,0.175
0.665,0.654,0.662,0.654,0.316,0.18,0.15,0.147
0.667,0.657,0.664,0.657,0.321,0.218,0.192,0.167
0.668,0.657,0.665,0.658,0.322,0.202,0.174,0.158
0.668,0.657,0.665,0.658,0.322,0.214,0.188,0.163
0.667,0.664,0.663,0.663,0.327,0.213,0.18,0.185
0.669,0.659,0.666,0.659,0.324,0.218,0.191,0.167
0.667,0.657,0.664,0.657,0.321,0.202,0.175,0.16
0.668,0.658,0.665,0.659,0.323,0.223,0.197,0.17
0.663,0.66,0.66,0.66,0.32,0.244,0.214,0.207
0.669,0.659,0.666,0.659,0.325,0.212,0.185,0.164
0.667,0.657,0.664,0.658,0.321,0.223,0.196,0.172
0.668,0.657,0.665,0.658,0.322,0.216,0.19,0.167
0.666,0.655,0.664,0.655,0.318,0.18,0.15,0.145
0.666,0.655,0.664,0.655,0.318,0.175,0.145,0.141
0.667,0.664,0.664,0.664,0.328,0.215,0.183,0.187
0.667,0.663,0.663,0.663,0.326,0.186,0.152,0.163
0.667,0.664,0.663,0.663,0.327,0.227,0.196,0.191
0.667,0.664,0.664,0.664,0.328,0.211,0.178,0.185
0.666,0.654,0.663,0.654,0.317,0.168,0.138,0.138
0.668,0.657,0.665,0.658,0.322,0.185,0.156,0.148
0.666,0.656,0.663,0.657,0.319,0.227,0.202,0.178
0.663,0.661,0.66,0.661,0.321,0.23,0.199,0.199
0.668,0.665,0.664,0.665,0.329,0.207,0.174,0.181
0.668,0.657,0.665,0.658,0.322,0.199,0.171,0.158
0.667,0.656,0.665,0.657,0.321,0.198,0.17,0.158
0.666,0.662,0.662,0.662,0.324,0.187,0.154,0.163
0.666,0.655,0.664,0.655,0.318,0.171,0.141,0.142
0.665,0.653,0.663,0.653,0.316,0.153,0.123,0.121
0.668,0.657,0.665,0.658,0.322,0.192,0.163,0.154
