accuracy,recall,precision,f1,mcc,spd,aod,eod
0.857,0.765,0.832,0.789,0.593,0.164,0.063,0.068
0.844,0.769,0.798,0.781,0.566,0.181,0.066,0.052
0.858,0.778,0.825,0.797,0.602,0.182,0.074,0.078
0.855,0.757,0.833,0.783,0.584,0.166,0.081,0.106
0.845,0.727,0.832,0.758,0.55,0.158,0.107,0.161
0.848,0.774,0.804,0.787,0.577,0.182,0.063,0.047
0.849,0.773,0.808,0.787,0.579,0.191,0.091,0.1
0.844,0.729,0.827,0.759,0.547,0.155,0.092,0.131
0.849,0.774,0.806,0.787,0.578,0.183,0.07,0.061
0.846,0.735,0.825,0.764,0.553,0.17,0.119,0.179
0.851,0.774,0.811,0.789,0.584,0.183,0.073,0.07
0.847,0.732,0.834,0.762,0.556,0.158,0.102,0.152
0.848,0.772,0.804,0.786,0.576,0.184,0.071,0.064
0.846,0.735,0.827,0.764,0.554,0.17,0.118,0.175
0.851,0.781,0.807,0.792,0.587,0.188,0.07,0.059
0.845,0.732,0.826,0.761,0.55,0.154,0.081,0.107
0.851,0.781,0.807,0.793,0.588,0.207,0.11,0.128
0.854,0.756,0.831,0.782,0.583,0.164,0.07,0.081
0.847,0.77,0.804,0.784,0.573,0.184,0.081,0.085
0.837,0.761,0.788,0.772,0.548,0.194,0.09,0.089
0.85,0.773,0.808,0.788,0.58,0.18,0.066,0.057
0.845,0.772,0.798,0.783,0.57,0.2,0.105,0.12
0.84,0.726,0.816,0.754,0.534,0.16,0.099,0.138
0.85,0.771,0.809,0.787,0.578,0.171,0.056,0.044
0.849,0.741,0.832,0.77,0.565,0.161,0.092,0.13
0.847,0.768,0.805,0.783,0.572,0.178,0.062,0.047
0.847,0.775,0.802,0.787,0.576,0.195,0.085,0.082
0.85,0.736,0.839,0.767,0.566,0.165,0.125,0.199
0.85,0.779,0.806,0.791,0.585,0.192,0.077,0.071
0.84,0.72,0.823,0.75,0.533,0.168,0.144,0.23
