accuracy,recall,precision,f1,mcc,spd,aod,eod
0.743,0.641,0.735,0.65,0.365,0.178,0.161,0.143
0.747,0.683,0.713,0.692,0.395,0.175,0.154,0.12
0.713,0.635,0.669,0.642,0.302,0.109,0.078,0.114
0.73,0.61,0.736,0.609,0.323,0.049,0.071,0.055
0.723,0.64,0.685,0.648,0.321,0.091,0.066,0.075
0.753,0.651,0.756,0.662,0.394,0.063,0.021,0.091
0.727,0.629,0.698,0.636,0.319,0.078,0.049,0.08
0.723,0.663,0.682,0.67,0.345,0.034,0.008,0.052
0.733,0.679,0.695,0.685,0.373,0.081,0.063,0.02
0.713,0.63,0.67,0.636,0.297,0.086,0.067,0.063
0.74,0.641,0.724,0.65,0.356,0.007,0.034,0.035
0.74,0.662,0.708,0.673,0.368,0.098,0.079,0.05
0.733,0.631,0.715,0.638,0.336,0.095,0.065,0.099
0.73,0.647,0.695,0.656,0.339,0.071,0.057,0.018
0.717,0.658,0.674,0.664,0.332,0.145,0.136,0.071
0.74,0.628,0.744,0.633,0.354,0.089,0.069,0.066
0.737,0.647,0.71,0.656,0.351,0.056,0.018,0.074
0.743,0.644,0.732,0.653,0.365,0.15,0.135,0.105
0.727,0.647,0.689,0.656,0.334,0.078,0.049,0.069
0.73,0.671,0.691,0.678,0.361,0.173,0.166,0.09
0.737,0.642,0.714,0.65,0.348,0.153,0.124,0.15
0.747,0.654,0.73,0.665,0.377,0.029,0.004,0.029
0.75,0.649,0.748,0.659,0.384,0.039,0.002,0.053
0.74,0.639,0.727,0.647,0.355,0.055,0.018,0.073
0.69,0.586,0.634,0.585,0.215,0.042,0.021,0.05
0.73,0.631,0.705,0.638,0.328,0.022,0.007,0.023
0.727,0.674,0.687,0.679,0.36,0.092,0.051,0.103
0.693,0.649,0.65,0.65,0.299,0.11,0.09,0.073
0.713,0.661,0.671,0.665,0.332,0.144,0.129,0.085
0.733,0.665,0.696,0.674,0.36,0.143,0.129,0.082
