accuracy,recall,precision,f1,mcc,avg_spd,avg_aod,avg_eod,spd,aod,eod
0.656,0.646,0.657,0.645,0.303,0.11149999999999999,0.076,0.0585,0.189,0.133,0.106
0.654,0.648,0.652,0.648,0.3,0.14150000000000001,0.1105,0.0695,0.197,0.15,0.103
0.652,0.645,0.65,0.646,0.295,0.14150000000000001,0.10849999999999999,0.07500000000000001,0.229,0.203,0.149
0.639,0.63,0.637,0.63,0.267,0.0975,0.0655,0.046,0.158,0.132,0.11
0.679,0.67,0.679,0.67,0.35,0.16799999999999998,0.1325,0.088,0.261,0.204,0.15
0.639,0.632,0.636,0.632,0.268,0.157,0.13,0.0865,0.214,0.188,0.13
0.657,0.651,0.656,0.651,0.307,0.14350000000000002,0.1115,0.0685,0.228,0.202,0.135
0.642,0.635,0.64,0.635,0.275,0.12,0.09,0.057,0.196,0.169,0.146
0.676,0.667,0.677,0.667,0.344,0.14500000000000002,0.1105,0.0615,0.221,0.189,0.13
0.63,0.624,0.628,0.625,0.252,0.16949999999999998,0.1455,0.10300000000000001,0.244,0.225,0.156
0.668,0.661,0.668,0.661,0.328,0.152,0.1185,0.0765,0.217,0.177,0.136
0.651,0.643,0.65,0.642,0.293,0.1265,0.0925,0.07050000000000001,0.195,0.166,0.138
0.635,0.612,0.68,0.585,0.283,0.113,0.096,0.035,0.189,0.165,0.068
0.668,0.658,0.669,0.658,0.327,0.1465,0.109,0.0805,0.228,0.181,0.153
0.663,0.654,0.663,0.654,0.317,0.14600000000000002,0.10849999999999999,0.09100000000000001,0.263,0.2,0.176
0.67,0.662,0.671,0.661,0.333,0.155,0.1185,0.0815,0.26,0.199,0.151
0.671,0.662,0.673,0.661,0.334,0.145,0.107,0.078,0.246,0.178,0.149
0.674,0.666,0.674,0.666,0.339,0.174,0.137,0.104,0.283,0.229,0.17
0.647,0.641,0.644,0.641,0.285,0.1265,0.092,0.073,0.19,0.165,0.117
0.669,0.662,0.669,0.662,0.331,0.157,0.122,0.08449999999999999,0.237,0.181,0.126
0.666,0.658,0.666,0.658,0.324,0.1715,0.1325,0.115,0.274,0.19,0.215
0.652,0.643,0.652,0.642,0.295,0.129,0.093,0.08,0.22,0.152,0.152
0.669,0.661,0.669,0.661,0.331,0.147,0.11,0.08299999999999999,0.248,0.178,0.16
0.666,0.657,0.667,0.657,0.324,0.1365,0.0995,0.0755,0.196,0.164,0.131
0.664,0.655,0.665,0.654,0.319,0.152,0.109,0.11,0.239,0.175,0.19
0.667,0.656,0.671,0.654,0.326,0.151,0.11699999999999999,0.0775,0.255,0.2,0.144
0.666,0.654,0.672,0.652,0.326,0.121,0.0855,0.0625,0.217,0.163,0.157
0.659,0.653,0.657,0.654,0.31,0.16649999999999998,0.1305,0.1015,0.244,0.208,0.164
0.652,0.64,0.655,0.637,0.294,0.1245,0.092,0.0625,0.217,0.165,0.124
0.675,0.664,0.68,0.662,0.343,0.1315,0.09050000000000001,0.07150000000000001,0.234,0.167,0.14
0.67,0.658,0.677,0.655,0.334,0.1305,0.0935,0.0645,0.231,0.169,0.129
0.668,0.66,0.668,0.66,0.327,0.162,0.122,0.1085,0.292,0.219,0.216
0.663,0.653,0.665,0.652,0.319,0.15,0.11299999999999999,0.09,0.258,0.206,0.157
0.678,0.667,0.683,0.666,0.35,0.1555,0.1175,0.077,0.275,0.215,0.154
0.674,0.661,0.683,0.657,0.343,0.132,0.0945,0.0645,0.244,0.188,0.133
0.656,0.647,0.655,0.647,0.303,0.1495,0.1155,0.09,0.252,0.202,0.156
0.647,0.637,0.646,0.636,0.284,0.122,0.0855,0.082,0.241,0.204,0.185
0.665,0.655,0.667,0.654,0.322,0.124,0.086,0.066,0.219,0.175,0.12
0.663,0.65,0.673,0.645,0.322,0.108,0.088,0.053,0.194,0.191,0.129
0.677,0.665,0.685,0.663,0.35,0.1365,0.094,0.075,0.253,0.184,0.155
0.665,0.651,0.673,0.647,0.324,0.1095,0.07200000000000001,0.051500000000000004,0.187,0.142,0.097
0.673,0.661,0.68,0.659,0.341,0.136,0.0975,0.067,0.236,0.173,0.129
0.653,0.639,0.66,0.635,0.298,0.104,0.0695,0.049,0.199,0.183,0.093
0.676,0.666,0.681,0.665,0.346,0.1575,0.11549999999999999,0.0935,0.259,0.191,0.168
0.665,0.653,0.672,0.65,0.324,0.11750000000000001,0.08149999999999999,0.052,0.208,0.144,0.127
0.667,0.654,0.673,0.651,0.327,0.136,0.10149999999999999,0.066,0.231,0.176,0.121
0.663,0.65,0.671,0.647,0.321,0.1365,0.098,0.0825,0.254,0.189,0.171
0.661,0.655,0.66,0.655,0.314,0.14250000000000002,0.106,0.079,0.209,0.181,0.129
0.661,0.655,0.659,0.655,0.314,0.1525,0.112,0.098,0.224,0.195,0.167
0.672,0.659,0.679,0.656,0.338,0.14350000000000002,0.10400000000000001,0.08349999999999999,0.25,0.189,0.153
0.652,0.645,0.65,0.645,0.294,0.153,0.114,0.108,0.232,0.187,0.166
0.659,0.651,0.659,0.65,0.309,0.1135,0.083,0.064,0.207,0.179,0.129
0.642,0.636,0.639,0.637,0.276,0.106,0.07400000000000001,0.054,0.173,0.122,0.098
0.657,0.652,0.655,0.653,0.307,0.1435,0.1085,0.0815,0.235,0.208,0.156
0.681,0.671,0.684,0.67,0.355,0.177,0.138,0.1005,0.303,0.248,0.179
0.657,0.645,0.662,0.642,0.307,0.077,0.0505,0.025500000000000002,0.111,0.085,0.065
0.62,0.616,0.617,0.616,0.233,0.1545,0.1355,0.10200000000000001,0.237,0.199,0.185
0.652,0.649,0.65,0.649,0.298,0.14300000000000002,0.1205,0.0645,0.201,0.17,0.119
0.657,0.654,0.655,0.654,0.309,0.13,0.10200000000000001,0.07350000000000001,0.174,0.142,0.108
0.675,0.665,0.68,0.663,0.345,0.181,0.156,0.101,0.299,0.271,0.171
0.654,0.64,0.666,0.633,0.304,0.113,0.0905,0.053,0.186,0.165,0.094
0.661,0.653,0.661,0.653,0.314,0.1585,0.1365,0.078,0.224,0.192,0.12
0.644,0.641,0.642,0.641,0.283,0.1355,0.111,0.0775,0.197,0.162,0.121
0.659,0.652,0.657,0.653,0.309,0.11599999999999999,0.08950000000000001,0.054,0.18,0.147,0.105
0.631,0.628,0.629,0.628,0.257,0.126,0.10750000000000001,0.0615,0.179,0.158,0.108
0.674,0.669,0.672,0.67,0.342,0.16449999999999998,0.135,0.0945,0.269,0.236,0.158
0.66,0.652,0.659,0.652,0.311,0.10450000000000001,0.075,0.055499999999999994,0.17,0.139,0.1
0.627,0.623,0.624,0.624,0.248,0.10300000000000001,0.076,0.07250000000000001,0.158,0.138,0.12
0.659,0.65,0.66,0.65,0.31,0.1205,0.096,0.055,0.195,0.17,0.129
0.661,0.653,0.66,0.653,0.313,0.11599999999999999,0.091,0.046,0.166,0.141,0.08
0.641,0.636,0.638,0.636,0.274,0.093,0.07050000000000001,0.0345,0.139,0.097,0.075
0.666,0.661,0.664,0.661,0.325,0.1075,0.0775,0.0485,0.165,0.121,0.089
0.676,0.671,0.675,0.671,0.346,0.1975,0.17099999999999999,0.121,0.331,0.303,0.206
0.657,0.651,0.656,0.651,0.307,0.14450000000000002,0.119,0.0765,0.207,0.179,0.114
0.634,0.628,0.631,0.628,0.259,0.0985,0.07150000000000001,0.06,0.171,0.152,0.11
0.649,0.645,0.646,0.645,0.292,0.16699999999999998,0.13849999999999998,0.1135,0.224,0.2,0.197
0.641,0.637,0.639,0.638,0.276,0.14500000000000002,0.122,0.081,0.209,0.171,0.163
0.647,0.644,0.645,0.644,0.288,0.142,0.11299999999999999,0.10400000000000001,0.231,0.198,0.168
0.668,0.661,0.668,0.661,0.329,0.183,0.156,0.11699999999999999,0.285,0.252,0.188
0.652,0.644,0.651,0.644,0.295,0.124,0.0975,0.072,0.177,0.146,0.111
0.641,0.637,0.638,0.638,0.275,0.107,0.0815,0.062,0.197,0.174,0.15
0.661,0.657,0.658,0.657,0.315,0.138,0.1105,0.072,0.207,0.182,0.138
0.661,0.655,0.66,0.655,0.315,0.138,0.11149999999999999,0.072,0.215,0.189,0.149
0.645,0.624,0.677,0.606,0.296,0.047,0.0455,0.0285,0.087,0.115,0.057
0.649,0.645,0.646,0.645,0.291,0.1495,0.129,0.07250000000000001,0.205,0.179,0.139
0.646,0.627,0.671,0.613,0.295,0.1595,0.14200000000000002,0.091,0.244,0.22,0.147
0.629,0.625,0.626,0.625,0.251,0.121,0.10300000000000001,0.058499999999999996,0.199,0.174,0.111
0.659,0.655,0.656,0.655,0.311,0.191,0.16549999999999998,0.127,0.314,0.284,0.216
0.647,0.641,0.644,0.642,0.286,0.11599999999999999,0.092,0.059,0.181,0.158,0.122
0.659,0.655,0.657,0.655,0.312,0.125,0.0975,0.062,0.182,0.148,0.095
0.672,0.662,0.675,0.661,0.336,0.1285,0.0975,0.07200000000000001,0.205,0.168,0.117
0.658,0.655,0.656,0.655,0.311,0.1515,0.127,0.089,0.234,0.202,0.144
0.676,0.667,0.678,0.666,0.345,0.133,0.10500000000000001,0.0595,0.224,0.191,0.107
0.655,0.651,0.652,0.651,0.304,0.174,0.14500000000000002,0.128,0.27,0.228,0.214
0.674,0.666,0.674,0.666,0.34,0.1385,0.1125,0.0625,0.222,0.189,0.107
0.665,0.658,0.664,0.658,0.322,0.1245,0.0975,0.0565,0.186,0.161,0.105
0.673,0.668,0.672,0.668,0.339,0.13699999999999998,0.105,0.08449999999999999,0.229,0.19,0.147
0.657,0.651,0.656,0.651,0.307,0.13999999999999999,0.1105,0.083,0.206,0.175,0.125
0.624,0.621,0.621,0.621,0.242,0.14650000000000002,0.129,0.0875,0.212,0.189,0.137
0.632,0.633,0.632,0.631,0.266,0.139,0.115,0.093,0.188,0.165,0.177
0.657,0.652,0.655,0.652,0.307,0.1225,0.0935,0.07300000000000001,0.194,0.156,0.121
0.67,0.667,0.668,0.667,0.335,0.151,0.122,0.086,0.261,0.222,0.168
0.679,0.669,0.682,0.668,0.351,0.1905,0.1635,0.12,0.3,0.266,0.196
0.649,0.646,0.646,0.646,0.292,0.133,0.11,0.064,0.191,0.157,0.099
0.641,0.638,0.639,0.638,0.277,0.1375,0.11149999999999999,0.08800000000000001,0.22,0.199,0.162
0.648,0.646,0.646,0.646,0.292,0.155,0.1255,0.107,0.226,0.185,0.17
0.68,0.672,0.682,0.671,0.354,0.1605,0.131,0.0875,0.245,0.21,0.133
0.673,0.665,0.673,0.665,0.338,0.118,0.0875,0.06,0.181,0.15,0.098
0.647,0.643,0.644,0.643,0.287,0.134,0.10450000000000001,0.091,0.196,0.164,0.163
0.642,0.636,0.639,0.636,0.276,0.143,0.11699999999999999,0.101,0.206,0.174,0.167
0.662,0.651,0.666,0.649,0.316,0.1145,0.0875,0.0635,0.16,0.126,0.099
0.653,0.646,0.651,0.646,0.297,0.1165,0.0915,0.056,0.171,0.149,0.102
0.679,0.669,0.682,0.668,0.351,0.1755,0.1465,0.10800000000000001,0.279,0.244,0.177
0.618,0.592,0.672,0.553,0.252,0.056999999999999995,0.043,0.025,0.092,0.08,0.05
0.68,0.673,0.68,0.673,0.353,0.153,0.1245,0.079,0.239,0.205,0.125
0.65,0.645,0.648,0.646,0.293,0.153,0.1245,0.10500000000000001,0.226,0.19,0.172
0.677,0.667,0.681,0.666,0.348,0.1395,0.112,0.0675,0.215,0.184,0.102
0.679,0.671,0.681,0.67,0.351,0.173,0.144,0.10300000000000001,0.272,0.237,0.165
0.674,0.665,0.675,0.665,0.34,0.151,0.1235,0.0805,0.225,0.19,0.132
0.619,0.595,0.659,0.563,0.246,0.10850000000000001,0.0995,0.047,0.156,0.14,0.082
0.677,0.667,0.681,0.666,0.348,0.11249999999999999,0.08449999999999999,0.039,0.171,0.131,0.071
0.682,0.674,0.684,0.674,0.358,0.14400000000000002,0.11499999999999999,0.068,0.234,0.199,0.117
0.675,0.665,0.678,0.664,0.343,0.11549999999999999,0.086,0.05,0.183,0.146,0.082
0.651,0.63,0.689,0.612,0.314,0.1315,0.11499999999999999,0.059500000000000004,0.195,0.169,0.098
0.661,0.655,0.66,0.655,0.315,0.132,0.099,0.089,0.215,0.172,0.155
0.68,0.67,0.682,0.67,0.353,0.122,0.0935,0.047,0.196,0.165,0.085
0.646,0.625,0.683,0.606,0.303,0.07700000000000001,0.056,0.021,0.115,0.079,0.036
0.644,0.622,0.687,0.599,0.302,0.10250000000000001,0.083,0.047,0.148,0.112,0.077
0.666,0.655,0.671,0.653,0.326,0.16449999999999998,0.14150000000000001,0.0925,0.264,0.237,0.151
0.657,0.639,0.684,0.627,0.32,0.10600000000000001,0.084,0.039,0.147,0.126,0.069
0.647,0.645,0.645,0.645,0.289,0.1265,0.0955,0.08549999999999999,0.23,0.185,0.182
0.673,0.667,0.672,0.668,0.339,0.14200000000000002,0.1115,0.08099999999999999,0.229,0.191,0.135
0.66,0.646,0.673,0.639,0.318,0.095,0.07150000000000001,0.03,0.159,0.133,0.05
0.665,0.652,0.676,0.647,0.326,0.114,0.0915,0.0395,0.176,0.152,0.077
0.665,0.651,0.675,0.646,0.325,0.10300000000000001,0.075,0.049999999999999996,0.157,0.122,0.085
0.644,0.623,0.681,0.603,0.298,0.1565,0.14150000000000001,0.082,0.241,0.222,0.134
0.634,0.631,0.631,0.631,0.263,0.0925,0.06999999999999999,0.0405,0.145,0.117,0.086
0.668,0.655,0.678,0.651,0.333,0.10650000000000001,0.08,0.041,0.156,0.127,0.087
0.652,0.65,0.65,0.65,0.3,0.101,0.07450000000000001,0.0665,0.174,0.146,0.133
0.666,0.654,0.674,0.65,0.327,0.1095,0.08349999999999999,0.042499999999999996,0.161,0.128,0.073
0.645,0.632,0.652,0.626,0.283,0.06949999999999999,0.06,0.051500000000000004,0.129,0.136,0.113
0.639,0.638,0.637,0.637,0.275,0.122,0.0995,0.063,0.186,0.163,0.13
0.671,0.66,0.677,0.657,0.336,0.1205,0.093,0.057,0.184,0.151,0.097
0.642,0.639,0.64,0.639,0.278,0.10149999999999999,0.078,0.067,0.177,0.139,0.166
0.632,0.63,0.63,0.63,0.259,0.108,0.0815,0.07750000000000001,0.178,0.154,0.154
0.67,0.658,0.677,0.655,0.335,0.114,0.089,0.041999999999999996,0.181,0.152,0.071
0.662,0.649,0.671,0.644,0.319,0.1125,0.0885,0.0435,0.179,0.152,0.069
0.663,0.651,0.67,0.648,0.321,0.11599999999999999,0.091,0.048,0.178,0.152,0.087
0.653,0.638,0.664,0.632,0.301,0.0975,0.0715,0.049,0.164,0.14,0.118
0.642,0.638,0.639,0.638,0.277,0.077,0.0525,0.028499999999999998,0.134,0.111,0.079
0.645,0.626,0.669,0.612,0.293,0.0435,0.0545,0.041,0.101,0.134,0.095
0.668,0.655,0.676,0.652,0.331,0.11649999999999999,0.091,0.050499999999999996,0.177,0.145,0.084
0.666,0.652,0.675,0.648,0.327,0.10700000000000001,0.08399999999999999,0.0305,0.166,0.138,0.066
0.663,0.648,0.677,0.642,0.324,0.0675,0.061000000000000006,0.041999999999999996,0.131,0.141,0.083
0.67,0.659,0.678,0.656,0.336,0.1435,0.118,0.068,0.226,0.196,0.11
0.636,0.631,0.634,0.631,0.265,0.091,0.063,0.062000000000000006,0.166,0.142,0.149
0.671,0.66,0.677,0.657,0.336,0.13,0.10300000000000001,0.06,0.204,0.174,0.09
0.669,0.656,0.677,0.653,0.333,0.10850000000000001,0.084,0.032,0.162,0.136,0.07
0.672,0.659,0.681,0.656,0.339,0.1095,0.08349999999999999,0.041,0.176,0.147,0.064
0.677,0.666,0.683,0.664,0.349,0.1505,0.1245,0.076,0.244,0.216,0.121
0.673,0.661,0.682,0.658,0.342,0.122,0.096,0.0525,0.2,0.171,0.084
0.673,0.661,0.679,0.659,0.34,0.156,0.1305,0.08149999999999999,0.236,0.207,0.124
0.674,0.663,0.682,0.66,0.344,0.1335,0.10700000000000001,0.0605,0.214,0.185,0.094
0.667,0.655,0.675,0.652,0.329,0.14150000000000001,0.11599999999999999,0.0745,0.225,0.193,0.123
0.674,0.662,0.682,0.66,0.344,0.1405,0.115,0.066,0.228,0.196,0.114
0.672,0.661,0.679,0.658,0.339,0.1515,0.126,0.08,0.251,0.217,0.147
0.672,0.659,0.68,0.656,0.338,0.127,0.1015,0.055,0.205,0.176,0.09
0.666,0.654,0.673,0.651,0.327,0.12050000000000001,0.095,0.0535,0.197,0.169,0.085
0.664,0.652,0.67,0.65,0.322,0.10900000000000001,0.08449999999999999,0.040999999999999995,0.199,0.153,0.114
0.674,0.664,0.678,0.663,0.342,0.16,0.134,0.0865,0.251,0.222,0.138
0.657,0.645,0.664,0.641,0.309,0.118,0.0975,0.0455,0.192,0.172,0.094
0.671,0.661,0.674,0.66,0.335,0.158,0.1275,0.101,0.258,0.221,0.173
0.667,0.654,0.676,0.65,0.33,0.136,0.1125,0.062,0.208,0.178,0.098
0.674,0.662,0.681,0.659,0.343,0.1235,0.0985,0.0445,0.195,0.169,0.075
0.659,0.647,0.665,0.644,0.311,0.136,0.1115,0.0715,0.234,0.205,0.133
0.672,0.66,0.678,0.658,0.337,0.126,0.1005,0.052500000000000005,0.208,0.181,0.087
0.655,0.645,0.657,0.643,0.301,0.137,0.11349999999999999,0.0725,0.228,0.195,0.139
0.628,0.626,0.626,0.626,0.252,0.178,0.1565,0.1215,0.275,0.252,0.188
0.673,0.661,0.681,0.658,0.341,0.1265,0.1,0.057,0.209,0.179,0.096
0.672,0.66,0.677,0.658,0.337,0.1655,0.13999999999999999,0.093,0.266,0.235,0.155
0.634,0.631,0.632,0.631,0.263,0.1455,0.1195,0.10850000000000001,0.202,0.176,0.17
0.63,0.626,0.627,0.627,0.254,0.14950000000000002,0.128,0.098,0.218,0.196,0.176
0.669,0.659,0.673,0.658,0.332,0.1585,0.1325,0.08549999999999999,0.245,0.217,0.127
0.667,0.656,0.673,0.653,0.328,0.15250000000000002,0.128,0.0835,0.239,0.208,0.137
0.674,0.663,0.68,0.66,0.342,0.14400000000000002,0.11699999999999999,0.075,0.233,0.199,0.129
0.652,0.649,0.649,0.649,0.299,0.141,0.114,0.0845,0.237,0.183,0.181
0.675,0.664,0.682,0.662,0.345,0.1345,0.10950000000000001,0.056499999999999995,0.203,0.178,0.098
0.675,0.665,0.68,0.663,0.345,0.183,0.1575,0.1085,0.293,0.264,0.177
0.662,0.65,0.67,0.646,0.319,0.0665,0.0405,0.018500000000000003,0.117,0.112,0.047
0.67,0.658,0.678,0.655,0.336,0.11399999999999999,0.0905,0.038,0.179,0.154,0.063
0.679,0.667,0.686,0.665,0.353,0.15,0.1245,0.072,0.234,0.203,0.117
0.642,0.636,0.639,0.637,0.276,0.068,0.0555,0.047,0.134,0.117,0.093
0.672,0.658,0.683,0.654,0.34,0.1005,0.07350000000000001,0.034,0.156,0.128,0.067
0.648,0.63,0.674,0.615,0.3,0.034499999999999996,0.0325,0.020999999999999998,0.069,0.073,0.044
0.663,0.649,0.675,0.643,0.323,0.1,0.07500000000000001,0.038,0.159,0.129,0.067
0.634,0.63,0.632,0.631,0.262,0.065,0.0515,0.059,0.12,0.113,0.131
0.636,0.631,0.633,0.632,0.264,0.094,0.074,0.081,0.179,0.16,0.17
0.662,0.649,0.671,0.645,0.32,0.1,0.074,0.041999999999999996,0.153,0.119,0.066
0.656,0.641,0.67,0.633,0.309,0.079,0.0545,0.0205,0.108,0.084,0.048
0.67,0.659,0.674,0.658,0.333,0.15000000000000002,0.1225,0.083,0.243,0.213,0.135
0.661,0.648,0.672,0.643,0.318,0.093,0.068,0.034,0.143,0.113,0.066
0.643,0.642,0.642,0.642,0.284,0.155,0.133,0.0925,0.231,0.197,0.158
0.665,0.651,0.675,0.646,0.325,0.092,0.066,0.032,0.13,0.104,0.06
0.656,0.638,0.684,0.625,0.319,0.1165,0.0945,0.051500000000000004,0.172,0.14,0.084
0.668,0.656,0.675,0.653,0.33,0.1555,0.131,0.08499999999999999,0.258,0.225,0.157
0.642,0.637,0.64,0.637,0.277,0.078,0.0805,0.093,0.163,0.177,0.193
0.667,0.653,0.681,0.647,0.333,0.087,0.0625,0.0155,0.129,0.102,0.039
0.673,0.665,0.672,0.666,0.337,0.1585,0.1255,0.07350000000000001,0.242,0.206,0.114
0.654,0.648,0.651,0.648,0.299,0.118,0.08600000000000001,0.0655,0.212,0.177,0.151
0.662,0.652,0.662,0.651,0.313,0.16799999999999998,0.135,0.103,0.276,0.236,0.172
0.65,0.626,0.688,0.607,0.308,0.10500000000000001,0.0835,0.025500000000000002,0.142,0.112,0.056
0.652,0.646,0.649,0.646,0.295,0.1225,0.092,0.048,0.204,0.173,0.115
0.665,0.657,0.663,0.657,0.319,0.1695,0.138,0.0935,0.258,0.219,0.141
0.638,0.636,0.636,0.636,0.271,0.11499999999999999,0.08349999999999999,0.063,0.177,0.118,0.155
0.654,0.646,0.652,0.646,0.298,0.1325,0.10450000000000001,0.052500000000000005,0.197,0.163,0.088
0.675,0.658,0.69,0.653,0.347,0.1395,0.10800000000000001,0.057999999999999996,0.224,0.187,0.09
0.636,0.628,0.633,0.628,0.262,0.097,0.0725,0.029,0.159,0.129,0.11
0.679,0.669,0.679,0.669,0.348,0.1595,0.1235,0.07400000000000001,0.248,0.203,0.115
0.666,0.657,0.664,0.657,0.321,0.16099999999999998,0.127,0.0845,0.263,0.233,0.159
0.637,0.63,0.634,0.63,0.264,0.085,0.058,0.046,0.163,0.135,0.093
0.655,0.651,0.652,0.652,0.304,0.179,0.1485,0.10750000000000001,0.298,0.265,0.18
0.667,0.66,0.665,0.661,0.325,0.1255,0.0895,0.0535,0.2,0.147,0.094
0.683,0.669,0.691,0.667,0.36,0.1455,0.11449999999999999,0.0505,0.224,0.186,0.076
0.638,0.637,0.636,0.636,0.273,0.1575,0.13,0.09,0.235,0.198,0.143
0.66,0.653,0.657,0.654,0.31,0.16599999999999998,0.133,0.0995,0.252,0.206,0.156
0.667,0.659,0.666,0.659,0.325,0.162,0.133,0.076,0.256,0.235,0.132
0.655,0.64,0.662,0.636,0.302,0.139,0.11,0.07150000000000001,0.215,0.183,0.106
0.675,0.667,0.675,0.667,0.341,0.14700000000000002,0.11349999999999999,0.064,0.216,0.179,0.116
0.67,0.653,0.689,0.646,0.34,0.136,0.109,0.045,0.218,0.188,0.07
0.652,0.645,0.649,0.645,0.294,0.1505,0.1245,0.0675,0.258,0.234,0.117
0.677,0.671,0.676,0.672,0.347,0.184,0.149,0.1015,0.296,0.262,0.155
0.675,0.669,0.673,0.669,0.342,0.184,0.1495,0.099,0.294,0.255,0.158
0.677,0.667,0.679,0.667,0.346,0.11649999999999999,0.0765,0.049,0.173,0.126,0.094
0.642,0.637,0.639,0.638,0.276,0.085,0.056999999999999995,0.0445,0.143,0.106,0.107
0.65,0.643,0.647,0.643,0.29,0.131,0.10200000000000001,0.061,0.215,0.183,0.146
0.673,0.665,0.671,0.665,0.336,0.1555,0.118,0.08499999999999999,0.255,0.213,0.143
0.669,0.662,0.668,0.662,0.329,0.146,0.10850000000000001,0.0815,0.242,0.208,0.129
0.682,0.672,0.685,0.671,0.356,0.131,0.0935,0.0495,0.197,0.159,0.105
0.67,0.662,0.67,0.662,0.331,0.14350000000000002,0.108,0.07100000000000001,0.2,0.161,0.133
0.66,0.653,0.658,0.654,0.311,0.125,0.0945,0.047,0.175,0.14,0.101
0.677,0.66,0.698,0.653,0.355,0.1545,0.1235,0.0665,0.24,0.203,0.102
0.641,0.634,0.638,0.635,0.272,0.1335,0.109,0.058499999999999996,0.209,0.181,0.123
0.646,0.639,0.643,0.64,0.283,0.11049999999999999,0.0835,0.0345,0.178,0.136,0.086
0.661,0.652,0.66,0.652,0.312,0.173,0.14,0.1085,0.257,0.216,0.172
0.666,0.658,0.664,0.658,0.322,0.188,0.155,0.118,0.291,0.252,0.182
0.657,0.653,0.654,0.653,0.307,0.16349999999999998,0.122,0.1245,0.265,0.217,0.197
0.674,0.669,0.671,0.67,0.341,0.16299999999999998,0.1255,0.093,0.253,0.197,0.154
0.674,0.66,0.682,0.658,0.342,0.1435,0.11549999999999999,0.0465,0.225,0.201,0.088
0.675,0.668,0.673,0.669,0.341,0.1725,0.1375,0.093,0.275,0.234,0.163
0.647,0.641,0.644,0.642,0.285,0.103,0.07050000000000001,0.047,0.17,0.135,0.126
0.681,0.672,0.682,0.672,0.354,0.178,0.14150000000000001,0.095,0.276,0.234,0.143
0.636,0.633,0.633,0.633,0.267,0.15899999999999997,0.137,0.08149999999999999,0.241,0.223,0.143
0.674,0.665,0.673,0.665,0.338,0.15500000000000003,0.122,0.07,0.23,0.2,0.121
0.657,0.648,0.655,0.648,0.304,0.1015,0.068,0.036000000000000004,0.145,0.106,0.113
0.656,0.649,0.653,0.649,0.302,0.1585,0.1295,0.08499999999999999,0.227,0.189,0.131
0.675,0.667,0.675,0.667,0.341,0.158,0.122,0.0785,0.241,0.198,0.13
0.646,0.64,0.642,0.641,0.283,0.14550000000000002,0.117,0.078,0.219,0.183,0.115
0.653,0.644,0.652,0.644,0.296,0.16549999999999998,0.139,0.092,0.278,0.256,0.149
0.653,0.648,0.65,0.648,0.298,0.156,0.123,0.0985,0.247,0.201,0.162
0.662,0.655,0.66,0.656,0.315,0.1465,0.119,0.055499999999999994,0.223,0.199,0.113
0.669,0.66,0.67,0.659,0.329,0.10850000000000001,0.0745,0.029500000000000002,0.163,0.12,0.056
0.652,0.647,0.649,0.648,0.296,0.155,0.1285,0.074,0.24,0.215,0.147
0.653,0.646,0.651,0.646,0.296,0.16449999999999998,0.136,0.08349999999999999,0.257,0.223,0.157
0.673,0.666,0.671,0.666,0.337,0.1965,0.16249999999999998,0.11499999999999999,0.309,0.261,0.194
0.668,0.662,0.666,0.663,0.328,0.1745,0.1405,0.10200000000000001,0.272,0.225,0.164
0.65,0.643,0.648,0.643,0.291,0.091,0.063,0.034999999999999996,0.145,0.109,0.098
0.677,0.668,0.679,0.668,0.346,0.127,0.0865,0.062,0.203,0.146,0.104
0.657,0.649,0.655,0.649,0.304,0.1325,0.103,0.0505,0.196,0.163,0.096
0.649,0.644,0.646,0.644,0.29,0.16649999999999998,0.134,0.11249999999999999,0.269,0.22,0.196
0.663,0.656,0.661,0.656,0.317,0.1575,0.123,0.09,0.235,0.189,0.161
0.669,0.663,0.666,0.664,0.33,0.16799999999999998,0.129,0.111,0.273,0.227,0.176
0.656,0.65,0.653,0.651,0.303,0.1185,0.087,0.046,0.167,0.131,0.102
0.653,0.647,0.65,0.647,0.297,0.121,0.092,0.044000000000000004,0.184,0.151,0.11
0.67,0.664,0.668,0.664,0.332,0.174,0.14200000000000002,0.0925,0.287,0.253,0.151
0.67,0.662,0.669,0.662,0.33,0.11499999999999999,0.0795,0.0375,0.169,0.131,0.078
0.67,0.663,0.669,0.664,0.332,0.17149999999999999,0.139,0.0905,0.264,0.23,0.141
0.652,0.645,0.649,0.645,0.293,0.127,0.095,0.062,0.181,0.136,0.11
0.653,0.645,0.65,0.646,0.295,0.1565,0.125,0.095,0.242,0.193,0.159
0.637,0.63,0.634,0.631,0.264,0.11099999999999999,0.0865,0.0375,0.175,0.146,0.107
0.681,0.673,0.681,0.674,0.354,0.159,0.1205,0.0795,0.252,0.206,0.138
0.648,0.643,0.645,0.643,0.288,0.11349999999999999,0.086,0.032,0.163,0.132,0.081
0.655,0.645,0.655,0.644,0.3,0.10400000000000001,0.076,0.025,0.153,0.121,0.066
0.66,0.652,0.658,0.652,0.31,0.174,0.14250000000000002,0.0965,0.254,0.219,0.168
0.66,0.653,0.657,0.653,0.31,0.136,0.10500000000000001,0.06,0.19,0.154,0.118
0.643,0.639,0.64,0.639,0.279,0.1345,0.10650000000000001,0.068,0.208,0.175,0.131
0.67,0.663,0.668,0.664,0.331,0.1745,0.139,0.10250000000000001,0.274,0.23,0.161
