accuracy,recall,precision,f1,mcc,spd,aod,eod
0.876,0.722,0.721,0.722,0.443,0.2,0.093,0.064
0.861,0.635,0.672,0.649,0.304,0.203,0.142,0.129
0.89,0.667,0.765,0.699,0.42,0.152,0.084,0.095
0.88,0.73,0.729,0.73,0.459,0.172,0.073,0.076
0.871,0.642,0.7,0.663,0.337,0.169,0.114,0.125
0.866,0.701,0.699,0.7,0.4,0.233,0.139,0.114
0.869,0.638,0.694,0.658,0.326,0.203,0.152,0.168
0.866,0.692,0.697,0.694,0.388,0.215,0.143,0.165
0.871,0.694,0.707,0.7,0.401,0.207,0.123,0.119
0.865,0.699,0.697,0.698,0.396,0.187,0.082,0.028
0.827,0.599,0.605,0.602,0.204,0.203,0.189,0.257
0.866,0.682,0.694,0.688,0.376,0.186,0.1,0.076
0.867,0.647,0.69,0.664,0.334,0.192,0.122,0.099
0.875,0.639,0.712,0.663,0.343,0.238,0.189,0.21
0.844,0.646,0.648,0.647,0.294,0.221,0.163,0.169
0.871,0.644,0.701,0.665,0.34,0.167,0.112,0.128
0.872,0.644,0.702,0.665,0.341,0.201,0.143,0.149
0.856,0.667,0.673,0.67,0.34,0.25,0.185,0.197
0.867,0.649,0.691,0.666,0.337,0.197,0.129,0.115
0.863,0.67,0.686,0.677,0.356,0.161,0.091,0.098
0.868,0.65,0.693,0.667,0.341,0.168,0.102,0.097
0.868,0.647,0.692,0.664,0.336,0.18,0.117,0.113
0.88,0.738,0.731,0.734,0.469,0.184,0.076,0.063
0.876,0.715,0.721,0.718,0.435,0.229,0.142,0.155
0.857,0.704,0.686,0.694,0.389,0.152,0.049,0.01
0.877,0.723,0.724,0.724,0.447,0.185,0.08,0.057
0.867,0.644,0.688,0.662,0.33,0.188,0.129,0.132
0.871,0.635,0.699,0.657,0.328,0.197,0.138,0.13
0.877,0.735,0.724,0.729,0.459,0.152,0.027,0.032
0.873,0.642,0.705,0.664,0.341,0.22,0.156,0.142
0.865,0.657,0.687,0.67,0.343,0.184,0.104,0.067
0.884,0.732,0.739,0.735,0.471,0.192,0.087,0.072
0.875,0.684,0.716,0.698,0.399,0.22,0.147,0.161
0.883,0.725,0.737,0.731,0.462,0.238,0.135,0.115
0.875,0.691,0.716,0.702,0.406,0.198,0.121,0.134
0.866,0.731,0.705,0.717,0.435,0.176,0.061,0.022
0.881,0.729,0.732,0.73,0.461,0.214,0.111,0.096
0.872,0.66,0.705,0.678,0.363,0.241,0.159,0.118
0.872,0.712,0.711,0.712,0.424,0.236,0.144,0.14
0.883,0.724,0.736,0.73,0.46,0.193,0.076,0.022
0.881,0.726,0.732,0.729,0.458,0.21,0.102,0.075
0.874,0.728,0.717,0.723,0.446,0.216,0.119,0.119
0.876,0.713,0.72,0.716,0.433,0.157,0.064,0.063
0.877,0.736,0.725,0.73,0.46,0.16,0.049,0.027
0.876,0.721,0.722,0.721,0.442,0.202,0.102,0.089
0.872,0.733,0.716,0.724,0.449,0.195,0.08,0.042
0.871,0.722,0.713,0.717,0.435,0.221,0.126,0.125
0.866,0.729,0.705,0.716,0.434,0.209,0.095,0.056
0.879,0.712,0.726,0.718,0.437,0.186,0.081,0.043
0.868,0.73,0.708,0.718,0.437,0.217,0.109,0.085
0.874,0.722,0.718,0.72,0.441,0.184,0.09,0.096
0.874,0.723,0.718,0.721,0.441,0.158,0.063,0.066
0.872,0.721,0.713,0.717,0.434,0.175,0.071,0.048
0.869,0.719,0.707,0.713,0.426,0.199,0.095,0.068
0.878,0.724,0.726,0.725,0.45,0.178,0.084,0.091
0.873,0.729,0.716,0.722,0.445,0.169,0.073,0.082
0.87,0.719,0.71,0.714,0.428,0.184,0.096,0.113
0.868,0.718,0.707,0.712,0.425,0.165,0.067,0.056
0.879,0.721,0.727,0.724,0.448,0.185,0.094,0.107
0.873,0.714,0.714,0.714,0.428,0.178,0.082,0.074
0.877,0.718,0.723,0.72,0.441,0.169,0.076,0.078
0.874,0.727,0.719,0.723,0.445,0.158,0.061,0.063
0.866,0.656,0.689,0.67,0.343,0.171,0.108,0.118
0.883,0.724,0.737,0.73,0.461,0.199,0.098,0.084
0.877,0.72,0.723,0.721,0.442,0.162,0.07,0.079
0.874,0.723,0.718,0.72,0.441,0.164,0.069,0.073
0.873,0.73,0.717,0.724,0.448,0.146,0.043,0.037
0.869,0.687,0.702,0.694,0.388,0.22,0.128,0.096
0.88,0.728,0.73,0.729,0.458,0.19,0.089,0.081
0.87,0.726,0.711,0.718,0.436,0.15,0.048,0.038
0.876,0.731,0.722,0.727,0.453,0.166,0.065,0.061
0.88,0.736,0.73,0.733,0.466,0.159,0.054,0.046
0.873,0.717,0.715,0.716,0.431,0.17,0.082,0.095
0.878,0.732,0.726,0.729,0.458,0.179,0.076,0.069
0.874,0.727,0.717,0.722,0.444,0.155,0.048,0.027
0.875,0.731,0.72,0.725,0.451,0.162,0.059,0.052
0.873,0.718,0.714,0.716,0.433,0.2,0.095,0.063
0.899,0.757,0.774,0.765,0.531,0.19,0.075,0.065
0.874,0.727,0.718,0.722,0.445,0.166,0.066,0.062
0.883,0.723,0.736,0.729,0.459,0.189,0.089,0.079
0.877,0.724,0.724,0.724,0.448,0.193,0.099,0.103
0.901,0.763,0.78,0.771,0.543,0.186,0.063,0.039
0.872,0.71,0.712,0.711,0.422,0.17,0.083,0.093
0.876,0.712,0.721,0.716,0.432,0.22,0.128,0.121
0.877,0.717,0.722,0.72,0.439,0.155,0.062,0.066
0.874,0.731,0.72,0.725,0.451,0.155,0.046,0.023
0.871,0.734,0.713,0.723,0.446,0.157,0.047,0.024
0.873,0.721,0.715,0.718,0.436,0.193,0.104,0.119
0.873,0.729,0.716,0.722,0.444,0.15,0.044,0.027
0.877,0.649,0.719,0.674,0.361,0.207,0.16,0.199
0.88,0.725,0.73,0.727,0.454,0.175,0.078,0.077
0.888,0.705,0.75,0.724,0.453,0.225,0.149,0.179
0.881,0.669,0.732,0.693,0.396,0.246,0.193,0.239
0.876,0.74,0.723,0.731,0.462,0.158,0.049,0.037
0.877,0.712,0.722,0.716,0.433,0.177,0.092,0.108
0.88,0.723,0.728,0.726,0.451,0.214,0.093,0.021
0.846,0.676,0.662,0.668,0.337,0.181,0.092,0.048
0.885,0.674,0.742,0.699,0.41,0.264,0.195,0.197
0.872,0.717,0.712,0.715,0.429,0.159,0.048,0.004
0.875,0.718,0.719,0.719,0.437,0.19,0.073,0.006
0.89,0.707,0.755,0.727,0.46,0.196,0.106,0.093
0.851,0.65,0.659,0.655,0.31,0.196,0.141,0.159
0.877,0.73,0.724,0.727,0.454,0.233,0.105,0.02
